iter	Logloss
0	0.6678717522
1	0.6458115555
2	0.6261597277
3	0.6086370061
4	0.5934253732
5	0.5792233084
6	0.5670692611
7	0.5566771803
8	0.546870057
9	0.537627689
10	0.5300575445
11	0.5228716604
12	0.5170249883
13	0.5114253777
14	0.5060877682
15	0.5014168285
16	0.4972105127
17	0.4931672655
18	0.4896318642
19	0.486311187
20	0.4838178898
21	0.4814889823
22	0.478972832
23	0.4766141461
24	0.474682647
25	0.4728348008
26	0.4709102085
27	0.4690964925
28	0.4675920666
29	0.4661945919
30	0.4646795019
31	0.4632926274
32	0.4621088065
33	0.4610405033
34	0.4599571382
35	0.45884133
36	0.4578818332
37	0.4570048278
38	0.4562607958
39	0.455716213
40	0.4550413699
41	0.4544468592
42	0.4534808221
43	0.4530472903
44	0.4526034019
45	0.4521307256
46	0.4517223909
47	0.4512671689
48	0.4504738685
49	0.4498012877
50	0.4493044687
51	0.4490162422
52	0.448413325
53	0.4480644981
54	0.4478319541
55	0.4475900093
56	0.4472692086
57	0.4469233178
58	0.4467122662
59	0.446462999
60	0.4461189425
61	0.4458633191
62	0.4455390302
63	0.4452198306
64	0.4448921018
65	0.4446151874
66	0.4444372144
67	0.444095878
68	0.4437871559
69	0.443483352
70	0.4432122468
71	0.4429613429
72	0.4427252573
73	0.4425168726
74	0.4423918652
75	0.4420379418
76	0.4417707867
77	0.4415625301
78	0.441431131
79	0.4411812216
80	0.441078992
81	0.4408569224
82	0.4407576906
83	0.4406128424
84	0.4403258904
85	0.4401276306
86	0.4398018933
87	0.4396421373
88	0.4393810881
89	0.4391912636
90	0.438975659
91	0.4387948293
92	0.4386403807
93	0.438421596
94	0.4381777331
95	0.4380065514
96	0.437928374
97	0.4377331711
98	0.4374919739
99	0.4373798193
100	0.4371661858
101	0.4369612241
102	0.4368751755
103	0.4367105403
104	0.4365437116
105	0.4364700093
106	0.4362933245
107	0.4360798206
108	0.4359763757
109	0.435782287
110	0.4356223024
111	0.4354705842
112	0.4353790355
113	0.4353052239
114	0.4352412705
115	0.4351830731
116	0.4349820156
117	0.4349163367
118	0.4348639413
119	0.4347892272
120	0.4346078395
121	0.4345167116
122	0.4343697124
123	0.4342779767
124	0.4341207748
125	0.434062023
126	0.433880093
127	0.43375189
128	0.4335712615
129	0.4333929832
130	0.4332837757
131	0.4331429636
132	0.4330340019
133	0.4329447128
134	0.4328579926
135	0.4327489405
136	0.4326854036
137	0.4325567469
138	0.4324458195
139	0.4324038557
140	0.432349892
141	0.4323112389
142	0.4321339706
143	0.4320363881
144	0.4319688982
145	0.4318981222
146	0.4318183468
147	0.4316984988
148	0.431550008
149	0.4314646637
150	0.4313100489
151	0.4312018403
152	0.4310993685
153	0.4309915055
154	0.4308585809
155	0.4307513307
156	0.4306158201
157	0.4305088074
158	0.4304283836
159	0.4303282526
160	0.4301909037
161	0.4300460824
162	0.4299822996
163	0.4298999056
164	0.4297846961
165	0.429729326
166	0.4296561324
167	0.4295790797
168	0.4294553079
169	0.4293754186
170	0.4292977945
171	0.4292145913
172	0.4290845684
173	0.4289965306
174	0.4288957457
175	0.4288019429
176	0.4287289281
177	0.428642073
178	0.4284898302
179	0.4284372046
180	0.4283381187
181	0.4282077731
182	0.4281281252
183	0.4280337503
184	0.4279047521
185	0.4277765044
186	0.4276744521
187	0.4276278413
188	0.4275897076
189	0.4275046986
190	0.4274164003
191	0.4273671925
192	0.4272932465
193	0.4272401497
194	0.4271824549
195	0.4270717343
196	0.4269863717
197	0.4268981804
198	0.4268372008
199	0.4267602698
200	0.4267039648
201	0.4266133876
202	0.4265258267
203	0.4264563186
204	0.4263464307
205	0.4262664545
206	0.4261689623
207	0.4260888167
208	0.4259638898
209	0.4259184525
210	0.4258711359
211	0.4257816882
212	0.4257295918
213	0.4256524455
214	0.4255711659
215	0.4255263789
216	0.4254367373
217	0.4253687282
218	0.4252853236
219	0.425218302
220	0.4251611674
221	0.425094972
222	0.4250258704
223	0.4249753149
224	0.4249261163
225	0.4248309181
226	0.4247364044
227	0.4246858694
228	0.4246328941
229	0.4245824923
230	0.4244746023
231	0.4243602277
232	0.4242986747
233	0.4242264571
234	0.4241506177
235	0.4240838544
236	0.4240366628
237	0.4239605511
238	0.4239039058
239	0.4238528427
240	0.4238118934
241	0.4237689772
242	0.4237060204
243	0.4236481129
244	0.423603709
245	0.4235337962
246	0.4234667955
247	0.4233902705
248	0.4232986278
249	0.423259395
250	0.4231878119
251	0.4230893713
252	0.4230280646
253	0.4229624214
254	0.4229132137
255	0.4228657658
256	0.4228208346
257	0.4227647025
258	0.4227194399
259	0.4226298265
260	0.4225532864
261	0.4224973659
262	0.422438364
263	0.4223781479
264	0.4223049301
265	0.4222431819
266	0.4221561104
