iter	Logloss
267	0.4221158171
268	0.4220737348
269	0.4220270317
270	0.4219858442
271	0.4219319644
272	0.4218633312
273	0.4217823926
274	0.4217172532
275	0.4216579924
276	0.4216125308
277	0.4215650163
278	0.4215001497
279	0.4214313475
280	0.4213866213
281	0.4213067933
282	0.4212523225
283	0.4212042527
284	0.4211553108
285	0.421117903
286	0.4210568806
287	0.4209996667
288	0.4209585395
289	0.4209266318
290	0.4208551042
291	0.4208202094
292	0.420767842
293	0.4206887344
294	0.4206017761
295	0.4205513012
296	0.4204879177
297	0.4204289315
298	0.4203632903
299	0.4203232176
300	0.4202827382
301	0.4202437201
302	0.4201852727
303	0.4201335247
304	0.4200857983
305	0.4200534052
306	0.4199963776
307	0.4199623609
308	0.4199230539
309	0.419863675
310	0.4197985065
311	0.4197316151
312	0.4196714753
313	0.4195965951
314	0.4194994136
315	0.4194428142
316	0.4193960869
317	0.4193162616
318	0.4192550397
319	0.4192031296
320	0.4191295154
321	0.4190735227
322	0.4190415648
323	0.4189850307
324	0.4189420188
325	0.4188814165
326	0.4188298318
327	0.4187993564
328	0.4187552118
329	0.4186849883
330	0.4186493188
331	0.4186078643
332	0.4185676609
333	0.4185209037
334	0.4184483012
335	0.4184067664
336	0.4183634357
337	0.4183244522
338	0.4182733569
339	0.4182390398
340	0.4181906502
341	0.4181484992
342	0.4180931711
343	0.4180496646
344	0.4180109353
345	0.417951236
346	0.4179041624
347	0.4178706722
348	0.4178125356
349	0.4177655971
350	0.4177114379
351	0.4176678599
352	0.4175922442
353	0.4175315324
354	0.4174958375
355	0.4174559599
356	0.4174273959
357	0.4173708572
358	0.4173167947
359	0.4172378675
360	0.4171835712
361	0.417142216
362	0.4170949323
363	0.4170403385
364	0.4169976862
365	0.4169547356
366	0.4168878001
367	0.4168513322
368	0.4167993561
369	0.4167751728
370	0.4167255549
371	0.4166752357
372	0.4166285184
373	0.4166067724
374	0.4165600435
375	0.416529419
376	0.4164794787
377	0.4164447694
378	0.4164008461
379	0.4163555696
380	0.4163152583
381	0.4162715992
382	0.4162015533
383	0.416156446
384	0.4161155935
385	0.4160807192
386	0.4160421919
387	0.4159872299
388	0.4159471141
389	0.4159054411
390	0.4158671577
391	0.4158329409
392	0.4157974421
393	0.4157631177
394	0.4157389276
395	0.4156848035
396	0.4156510353
397	0.4156145887
398	0.4155831936
399	0.4155579955
400	0.4155274815
401	0.4154933263
402	0.4154451253
403	0.4154216639
404	0.4153929689
405	0.4153516512
406	0.4153100475
407	0.4152617671
408	0.4152162578
409	0.4151708207
410	0.415140827
411	0.4151045025
412	0.4150578178
413	0.4149987721
414	0.4149637815
415	0.4149365953
416	0.4149085496
417	0.4148724194
418	0.4148409698
419	0.4147911122
420	0.4147447871
421	0.4147066192
422	0.4146585994
423	0.4146026869
424	0.4145635644
425	0.4145286067
426	0.4144908563
427	0.4144366188
428	0.4144122796
429	0.4143848958
430	0.4143587458
431	0.414322105
432	0.4142939659
433	0.4142724503
434	0.4142424678
435	0.414201955
436	0.4141452475
437	0.4140980858
438	0.4140585056
439	0.4140278972
440	0.4139704183
441	0.4139436277
442	0.4139071573
443	0.4138711784
444	0.4138478592
445	0.4138155886
446	0.4137737169
447	0.413745703
448	0.413701532
449	0.4136654867
450	0.4136157824
451	0.4135829293
452	0.413535682
453	0.4134958998
454	0.4134521093
455	0.4134184924
456	0.4133795811
457	0.4133332141
458	0.4132987321
459	0.413253434
460	0.4132158699
461	0.4131725909
462	0.4131453637
463	0.4131009685
464	0.4130696075
465	0.4130218011
466	0.4129768716
467	0.4129421036
468	0.4129128296
469	0.412867621
470	0.4128508487
471	0.4128030094
472	0.4127777938
473	0.4127538758
474	0.4127090915
475	0.4126851889
476	0.4126549277
477	0.4126326022
478	0.4125931201
479	0.4125490755
480	0.412489606
481	0.4124492598
482	0.4124063738
483	0.4123749856
484	0.4123381007
485	0.4122941139
486	0.412263023
487	0.4122258117
488	0.4121912554
489	0.4121526587
490	0.4121220665
491	0.4120964927
492	0.4120764562
493	0.412036382
494	0.4120143792
495	0.4119803126
496	0.4119529997
497	0.4119192532
498	0.4118800612
499	0.4118596969
