Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-05-28 00:00:00-04:00,97.5410614540266,98.07991122087033,95.8363482888828,96.67890930175781,4360900,0.0,0.0,MMM
2024-05-29 00:00:00-04:00,95.81676543323097,95.91473608803219,94.79785417899826,95.58162689208984,4826600,0.0,0.0,MMM
2024-05-30 00:00:00-04:00,95.70898850671031,96.2380389737611,94.92520837596514,96.2086410522461,4520300,0.0,0.0,MMM
2024-05-31 00:00:00-04:00,96.07149137712473,98.21708393172095,95.44447019239306,98.10931396484375,21754400,0.0,0.0,MMM
2024-06-03 00:00:00-04:00,98.3346454580306,98.74612667658288,96.96303392150811,97.73701477050781,4508100,0.0,0.0,MMM
2024-06-04 00:00:00-04:00,96.99242708516279,97.38431717438263,95.69919502301455,96.61033630371094,4988100,0.0,0.0,MMM
2024-06-05 00:00:00-04:00,96.81606982027962,97.62924038772053,95.8853374669695,97.05120086669922,3115400,0.0,0.0,MMM
2024-06-06 00:00:00-04:00,96.79648886997805,97.53128000773188,96.16946769706934,96.2282485961914,2510000,0.0,0.0,MMM
2024-06-07 00:00:00-04:00,97.49208244784782,99.8923969825416,96.40459105302898,98.81470489501953,5636700,0.0,0.0,MMM
2024-06-10 00:00:00-04:00,98.39341994568551,99.77482322505513,98.24646024157867,98.61875915527344,3507600,0.0,0.0,MMM
2024-06-11 00:00:00-04:00,98.07011944813573,99.41234057750277,97.21776653742184,99.265380859375,2831500,0.0,0.0,MMM
2024-06-12 00:00:00-04:00,100.53902661383569,101.57752904905033,98.71674396073846,99.1576156616211,3704600,0.0,0.0,MMM
2024-06-13 00:00:00-04:00,99.95118100369407,100.7153700284391,98.69713871900728,99.48091888427734,5034700,0.0,0.0,MMM
2024-06-14 00:00:00-04:00,98.46199941550823,99.36334129782627,97.29612857281973,98.85388946533203,2685000,0.0,0.0,MMM
2024-06-17 00:00:00-04:00,97.95255174192849,99.38294413103876,97.8937633734162,98.49139404296875,3490000,0.0,0.0,MMM
2024-06-18 00:00:00-04:00,98.04072234786838,99.41233383286756,98.03092304074289,98.72652435302734,3446200,0.0,0.0,MMM
2024-06-20 00:00:00-04:00,98.2268838305457,100.26469895583433,98.15830362163717,99.59849548339844,3476600,0.0,0.0,MMM
2024-06-21 00:00:00-04:00,99.86300397352542,100.36266398730356,98.90287369946951,100.31367492675781,7866200,0.0,0.0,MMM
2024-06-24 00:00:00-04:00,100.10794014685125,101.40117218882288,99.61807941163954,100.9015121459961,2948000,0.0,0.0,MMM
2024-06-25 00:00:00-04:00,100.79373867287212,101.08765809362654,99.23598517704524,99.98057556152344,5164200,0.0,0.0,MMM
2024-06-26 00:00:00-04:00,99.5593043121075,99.73565448603888,98.53059371839406,99.39274597167969,2356100,0.0,0.0,MMM
2024-06-27 00:00:00-04:00,99.89239593982333,101.9302183047601,99.57888538173161,101.0778579711914,4338300,0.0,0.0,MMM
2024-06-28 00:00:00-04:00,100.92110810199769,101.86163979185974,99.59848564671294,100.11773681640625,6196500,0.0,0.0,MMM
